month,cluster_id,n_samples,n_benign,n_malicious,n_labeled,mal_ratio,age,birth_month,is_new,top_features
2016-10,38,105,53,1,54,0.0185,6,3,False,intents::android_intent_action_MAIN(+0.290); intents::android_intent_category_LAUNCHER(+0.289); interesting_calls::getSystemService(+0.270); api_permissions::android_permission_INTERNET(+0.269); app_permissions::name='android_permission_INTERNET'(+0.256); api_calls::android/app/NotificationManager;->notify(+0.237); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.234); api_permissions::android_permission_VIBRATE(+0.219); activities::_MainActivity(+0.216); interesting_calls::getPackageInfo(+0.208)
2016-10,39,183,83,3,86,0.0349,5,4,False,api_permissions::android_permission_WAKE_LOCK(+0.155); api_permissions::android_permission_VIBRATE(+0.145); intents::android_intent_action_MAIN(+0.143); interesting_calls::getPackageInfo(+0.142); intents::android_intent_category_LAUNCHER(+0.141); api_permissions::android_permission_INTERNET(+0.141); interesting_calls::getSystemService(+0.141); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.140); interesting_calls::Obfuscation(Base64)(+0.138); app_permissions::name='android_permission_INTERNET'(+0.137)
2016-10,40,94,35,9,44,0.2045,5,4,False,intents::android_intent_action_MAIN(+0.258); intents::android_intent_category_LAUNCHER(+0.256); interesting_calls::getSystemService(+0.238); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.237); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.224); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.207); interesting_calls::Read/Write External Storage(+0.200); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.193); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.191)
2016-10,41,38,25,1,26,0.0385,3,4,False,intents::android_intent_action_MAIN(+0.175); intents::android_intent_category_LAUNCHER(+0.174); api_permissions::android_permission_INTERNET(+0.172); interesting_calls::getSystemService(+0.172); app_permissions::name='android_permission_INTERNET'(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.164); interesting_calls::getPackageInfo(+0.156); interesting_calls::Obfuscation(Base64)(+0.151); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.151); interesting_calls::Read/Write External Storage(+0.148)
2016-10,42,49,13,0,13,0.0,4,5,False,intents::android_intent_action_MAIN(+0.278); intents::android_intent_category_LAUNCHER(+0.277); interesting_calls::printStackTrace(+0.262); interesting_calls::getSystemService(+0.257); api_permissions::android_permission_INTERNET(+0.251); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.250); interesting_calls::Read/Write External Storage(+0.249); app_permissions::name='android_permission_INTERNET'(+0.235); api_permissions::android_permission_WAKE_LOCK(+0.224); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.198)
2016-10,43,35,13,1,14,0.0714,2,5,False,app_permissions::name='android_permission_INTERNET'(+0.217); intents::android_intent_action_MAIN(+0.217); intents::android_intent_category_LAUNCHER(+0.216); api_permissions::android_permission_INTERNET(+0.213); interesting_calls::getSystemService(+0.212); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.210); interesting_calls::getPackageInfo(+0.210); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.209); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.196); interesting_calls::Obfuscation(Base64)(+0.175)
2016-10,44,55,17,11,28,0.3929,3,6,False,interesting_calls::getPackageInfo(+0.138); api_permissions::android_permission_WAKE_LOCK(+0.138); intents::android_intent_action_MAIN(+0.131); intents::android_intent_category_LAUNCHER(+0.130); app_permissions::name='android_permission_INTERNET'(+0.129); api_permissions::android_permission_INTERNET(+0.129); interesting_calls::getSystemService(+0.129); api_permissions::android_permission_VIBRATE(+0.126); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.125); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.125)
2016-10,45,53,27,1,28,0.0357,3,6,False,intents::android_intent_action_MAIN(+0.298); intents::android_intent_category_LAUNCHER(+0.297); interesting_calls::getSystemService(+0.264); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.262); api_permissions::android_permission_INTERNET(+0.260); app_permissions::name='android_permission_INTERNET'(+0.258); interesting_calls::printStackTrace(+0.243); interesting_calls::Read/Write External Storage(+0.214); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.205); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.201)
2016-10,46,52,23,3,26,0.1154,2,7,False,intents::android_intent_action_MAIN(+0.251); intents::android_intent_category_LAUNCHER(+0.250); interesting_calls::getSystemService(+0.240); api_permissions::android_permission_INTERNET(+0.240); app_permissions::name='android_permission_INTERNET'(+0.230); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.230); interesting_calls::getPackageInfo(+0.214); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.212); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.207); interesting_calls::Obfuscation(Base64)(+0.190)
2016-10,47,36,20,1,21,0.0476,2,7,False,intents::android_intent_action_MAIN(+0.245); intents::android_intent_category_LAUNCHER(+0.240); api_permissions::android_permission_WAKE_LOCK(+0.238); interesting_calls::getSystemService(+0.235); api_permissions::android_permission_INTERNET(+0.229); app_permissions::name='android_permission_INTERNET'(+0.216); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.214); api_permissions::android_permission_VIBRATE(+0.200); interesting_calls::getPackageInfo(+0.199); interesting_calls::Read/Write External Storage(+0.193)
2016-10,48,9,5,0,5,0.0,0,8,False,intents::android_intent_action_MAIN(+0.221); intents::android_intent_category_LAUNCHER(+0.203); api_permissions::android_permission_INTERNET(+0.198); interesting_calls::getSystemService(+0.197); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.186); app_permissions::name='android_permission_INTERNET'(+0.185); api_permissions::android_permission_READ_CONTACTS(+0.175); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.169); interesting_calls::Read/Write External Storage(+0.167); interesting_calls::getPackageInfo(+0.164)
2016-10,49,6,3,1,4,0.25,0,9,True,intents::android_intent_category_LAUNCHER(+0.272); intents::android_intent_action_MAIN(+0.272); interesting_calls::getSystemService(+0.236); app_permissions::name='android_permission_INTERNET'(+0.236); api_permissions::android_permission_INTERNET(+0.234); activities::_MainActivity(+0.214); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.206); interesting_calls::printStackTrace(+0.195); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.192); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.183)
2016-11,0,13619,5721,166,5887,0.0282,11,0,False,interesting_calls::Obfuscation(Base64)(+0.170); interesting_calls::getPackageInfo(+0.167); api_permissions::android_permission_VIBRATE(+0.160); api_permissions::android_permission_WAKE_LOCK(+0.157); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.156); interesting_calls::getSystemService(+0.152); api_permissions::android_permission_INTERNET(+0.152); intents::android_intent_action_MAIN(+0.151); app_permissions::name='android_permission_INTERNET'(+0.151); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.150)
2016-11,1,5141,4193,110,4303,0.0256,11,0,False,intents::android_intent_action_MAIN(+0.195); intents::android_intent_category_LAUNCHER(+0.194); interesting_calls::getSystemService(+0.194); api_permissions::android_permission_INTERNET(+0.192); app_permissions::name='android_permission_INTERNET'(+0.190); api_permissions::android_permission_VIBRATE(+0.187); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.183); interesting_calls::getPackageInfo(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.175); interesting_calls::Read/Write External Storage(+0.175)
2016-11,2,1886,1816,5,1821,0.0027,11,0,False,intents::android_intent_action_MAIN(+0.210); intents::android_intent_category_LAUNCHER(+0.210); app_permissions::name='android_permission_INTERNET'(+0.208); api_permissions::android_permission_INTERNET(+0.205); interesting_calls::getSystemService(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.194); activities::com_google_ads_AdActivity(+0.192); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.191); api_calls::android/content/ContentResolver;->query(+0.191); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.190)
2016-11,3,7179,5875,418,6293,0.0664,11,0,False,urls::http://plus_google_com/(+0.163); interesting_calls::getSystemService(+0.158); urls::http://schemas_android_com/apk/lib/com_google_android_gms_plus(+0.158); api_permissions::android_permission_INTERNET(+0.158); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.158); intents::android_intent_action_MAIN(+0.158); api_permissions::android_permission_VIBRATE(+0.157); urls::https://www_googleapis_com/auth/games_firstparty(+0.157); intents::android_intent_category_LAUNCHER(+0.157); urls::https://www_googleapis_com/auth/games(+0.157)
2016-11,4,2946,1998,5,2003,0.0025,11,0,False,api_permissions::android_permission_WAKE_LOCK(+0.276); interesting_calls::Read/Write External Storage(+0.266); api_calls::android/os/PowerManager$WakeLock;->acquire(+0.260); interesting_calls::getSystemService(+0.260); intents::android_intent_action_MAIN(+0.257); api_permissions::android_permission_INTERNET(+0.257); intents::android_intent_category_LAUNCHER(+0.256); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.245); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.244); api_calls::android/content/Context;->startActivity(+0.239)
2016-11,5,2918,2443,12,2455,0.0049,11,0,False,api_calls::android/app/Activity;->startActivity(+0.262); interesting_calls::printStackTrace(+0.251); intents::android_intent_action_MAIN(+0.247); intents::android_intent_category_LAUNCHER(+0.246); api_permissions::android_permission_INTERNET(+0.239); interesting_calls::Read/Write External Storage(+0.239); interesting_calls::getSystemService(+0.238); app_permissions::name='android_permission_INTERNET'(+0.225); api_permissions::android_permission_READ_CONTACTS(+0.216); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.215)
2016-11,6,5592,4136,636,4772,0.1333,11,0,False,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.233); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.230); app_permissions::name='android_permission_INTERNET'(+0.216); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.215); interesting_calls::Read/Write External Storage(+0.210); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.194); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); api_permissions::android_permission_WAKE_LOCK(+0.184)
2016-11,7,7412,6188,255,6443,0.0396,11,0,False,api_permissions::android_permission_READ_CONTACTS(+0.148); urls::https://www_googletagmanager_com(+0.148); urls::http://hostname/?(+0.148); urls::http://www_google_com(+0.146); interesting_calls::getSystemService(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.146); urls::https://www_googleapis_com/auth/drive_appdata(+0.146); urls::https://www_googleapis_com/auth/drive_file(+0.146)
2016-11,8,4866,4117,89,4206,0.0212,11,0,False,intents::android_intent_action_MAIN(+0.244); intents::android_intent_category_LAUNCHER(+0.243); interesting_calls::getSystemService(+0.237); api_permissions::android_permission_INTERNET(+0.234); app_permissions::name='android_permission_INTERNET'(+0.225); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.215); interesting_calls::printStackTrace(+0.212); interesting_calls::Read/Write External Storage(+0.206); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.200); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.199)
2016-11,9,3418,3025,54,3079,0.0175,10,0,False,intents::android_intent_action_MAIN(+0.134); intents::android_intent_category_LAUNCHER(+0.132); interesting_calls::getSystemService(+0.132); api_permissions::android_permission_INTERNET(+0.132); app_permissions::name='android_permission_INTERNET'(+0.131); api_permissions::android_permission_READ_CONTACTS(+0.130); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.130); interesting_calls::getPackageInfo(+0.129); interesting_calls::Obfuscation(Base64)(+0.129); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.128)
2016-11,10,2953,2528,56,2584,0.0217,10,0,False,intents::android_intent_action_MAIN(+0.347); intents::android_intent_category_LAUNCHER(+0.345); interesting_calls::getSystemService(+0.304); api_permissions::android_permission_INTERNET(+0.304); app_permissions::name='android_permission_INTERNET'(+0.303); api_calls::android/webkit/WebView(+0.231); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.228); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); activities::_MainActivity(+0.197); interesting_calls::getPackageInfo(+0.191)
2016-11,11,3621,2978,36,3014,0.0119,11,0,False,interesting_calls::getPackageInfo(+0.209); app_permissions::name='android_permission_INTERNET'(+0.206); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.204); intents::android_intent_action_MAIN(+0.203); intents::android_intent_category_LAUNCHER(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.203); interesting_calls::Obfuscation(Base64)(+0.202); interesting_calls::getSystemService(+0.202); api_permissions::android_permission_INTERNET(+0.201); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.201)
2016-11,12,3474,3225,18,3243,0.0056,11,0,False,api_calls::android/app/Activity;->startActivity(+0.280); api_calls::android/content/ContentResolver;->query(+0.278); intents::android_intent_action_MAIN(+0.272); interesting_calls::getSystemService(+0.271); intents::android_intent_category_LAUNCHER(+0.271); api_permissions::android_permission_READ_CONTACTS(+0.270); api_permissions::android_permission_INTERNET(+0.269); api_calls::java/net/Socket(+0.262); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.262); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.254)
2016-11,13,896,696,1,697,0.0014,10,0,False,interesting_calls::HttpPost(+0.073); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.073); app_permissions::name='android_permission_GET_ACCOUNTS'(+0.072); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.072); api_permissions::android_permission_WAKE_LOCK(+0.072); app_permissions::name='android_permission_ACCESS_FINE_LOCATION'(+0.071); api_permissions::android_permission_READ_PHONE_STATE(+0.070); interesting_calls::Read/Write External Storage(+0.070); app_permissions::name='android_permission_ACCESS_COARSE_LOCATION'(+0.070); urls::http://plus_google_com/(+0.070)
2016-11,14,7391,3224,3210,6434,0.4989,11,0,False,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.187); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.183); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.183); app_permissions::name='android_permission_INTERNET'(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.181); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); interesting_calls::getPackageInfo(+0.173)
2016-11,15,1253,1052,155,1207,0.1284,10,0,False,interesting_calls::Obfuscation(Base64)(+0.140); app_permissions::name='android_permission_INTERNET'(+0.137); interesting_calls::getDeviceId(+0.136); interesting_calls::getPackageInfo(+0.136); api_permissions::android_permission_INTERNET(+0.136); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.135); intents::android_intent_action_MAIN(+0.135); intents::android_intent_category_LAUNCHER(+0.135); interesting_calls::getSystemService(+0.135); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.134)
2016-11,16,3674,3470,46,3516,0.0131,11,0,False,api_permissions::android_permission_READ_CONTACTS(+0.192); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.192); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.191); urls::http://www_gstatic_com/safa/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.188); intents::android_intent_action_MAIN(+0.188); interesting_calls::getSystemService(+0.188)
2016-11,17,3407,2965,68,3033,0.0224,11,0,False,interesting_calls::getPackageInfo(+0.149); interesting_calls::Obfuscation(Base64)(+0.146); app_permissions::name='android_permission_INTERNET'(+0.144); api_permissions::android_permission_READ_CONTACTS(+0.143); intents::android_intent_action_MAIN(+0.142); intents::android_intent_category_LAUNCHER(+0.141); api_permissions::android_permission_INTERNET(+0.141); interesting_calls::getSystemService(+0.141); api_permissions::android_permission_VIBRATE(+0.141); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.141)
2016-11,18,2940,2557,363,2920,0.1243,9,0,False,interesting_calls::getPackageInfo(+0.178); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.168); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.168); interesting_calls::Obfuscation(Base64)(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.165); app_permissions::name='android_permission_INTERNET'(+0.163); api_permissions::android_permission_READ_CONTACTS(+0.162); api_permissions::android_permission_INTERNET(+0.161); interesting_calls::getSystemService(+0.160); intents::android_intent_action_MAIN(+0.156)
2016-11,19,235,111,0,111,0.0,8,0,False,interesting_calls::getPackageInfo(+0.138); api_permissions::android_permission_MANAGE_ACCOUNTS(+0.131); api_calls::android/accounts/AccountManager;->invalidateAuthToken(+0.128); interesting_calls::Read/Write External Storage(+0.127); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.126); intents::android_intent_action_MAIN(+0.125); app_permissions::name='android_permission_INTERNET'(+0.124); intents::android_intent_category_LAUNCHER(+0.124); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.123); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.122)
2016-11,20,1278,20,521,541,0.963,10,0,False,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.363); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.289); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.268); interesting_calls::printStackTrace(+0.230); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.216); app_permissions::name='android_permission_INTERNET'(+0.202); intents::android_intent_action_MAIN(+0.193); app_permissions::name='android_permission_WAKE_LOCK'(+0.193); intents::android_intent_category_LAUNCHER(+0.191); app_permissions::name='android_permission_GET_TASKS'(+0.161)
2016-11,21,186,115,39,154,0.2532,9,0,False,api_permissions::android_permission_READ_PHONE_STATE(+0.190); api_calls::android/location/LocationManager;->getLastKnownLocation(+0.170); app_permissions::name='android_permission_WAKE_LOCK'(+0.166); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.165); app_permissions::name='com_google_android_c2dm_permission_RECEIVE'(+0.160); providers::com_google_android_providers_gsf_permission_READ_GSERVICES(+0.158); app_permissions::name='com_google_android_providers_gsf_permission_READ_GSERVICES'(+0.158); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.154); api_calls::android/app/NotificationManager;->notify(+0.153); api_permissions::android_permission_WAKE_LOCK(+0.152)
2016-11,22,3515,1318,162,1480,0.1095,10,0,False,api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.198); interesting_calls::getSystemService(+0.196); interesting_calls::getPackageInfo(+0.196); api_permissions::android_permission_INTERNET(+0.195); intents::android_intent_action_MAIN(+0.195); intents::android_intent_category_LAUNCHER(+0.194); interesting_calls::Obfuscation(Base64)(+0.188); app_permissions::name='android_permission_INTERNET'(+0.184); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.180); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.178)
2016-11,23,310,244,13,257,0.0506,9,0,False,interesting_calls::printStackTrace(+0.159); interesting_calls::getPackageInfo(+0.131); intents::android_intent_category_LAUNCHER(+0.130); intents::android_intent_action_MAIN(+0.130); interesting_calls::getSystemService(+0.128); app_permissions::name='android_permission_INTERNET'(+0.128); api_permissions::android_permission_INTERNET(+0.128); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.127); interesting_calls::Obfuscation(Base64)(+0.126); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.125)
2016-11,24,204,120,0,120,0.0,9,1,False,api_calls::android/telephony/TelephonyManager;->getDeviceId(+0.125); api_permissions::android_permission_MANAGE_ACCOUNTS(+0.114); interesting_calls::Obfuscation(Base64)(+0.113); interesting_calls::getDeviceId(+0.113); api_permissions::android_permission_READ_PHONE_STATE(+0.111); api_calls::android/accounts/AccountManager;->invalidateAuthToken(+0.110); interesting_calls::HttpPost(+0.108); api_permissions::android_permission_WAKE_LOCK(+0.101); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.100); app_permissions::name='android_permission_WAKE_LOCK'(+0.100)
2016-11,25,3534,1387,49,1436,0.0341,9,1,False,interesting_calls::getPackageInfo(+0.162); api_permissions::android_permission_WAKE_LOCK(+0.160); api_permissions::android_permission_VIBRATE(+0.158); app_permissions::name='android_permission_INTERNET'(+0.155); intents::android_intent_action_MAIN(+0.155); intents::android_intent_category_LAUNCHER(+0.153); interesting_calls::Obfuscation(Base64)(+0.153); interesting_calls::getSystemService(+0.152); api_permissions::android_permission_INTERNET(+0.152); interesting_calls::Read/Write External Storage(+0.150)
2016-11,26,111,229,13,242,0.0537,9,1,False,api_calls::android/content/ContentResolver;->query(+0.150); api_permissions::android_permission_RECORD_AUDIO(+0.146); interesting_calls::Obfuscation(Base64)(+0.141); api_calls::android/telephony/TelephonyManager;->getDeviceId(+0.141); interesting_calls::getDeviceId(+0.141); api_calls::android/location/LocationManager;->getBestProvider(+0.141); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.140); api_calls::org/apache/http/impl/client/DefaultHttpClient(+0.139); api_permissions::android_permission_MANAGE_ACCOUNTS(+0.139); api_calls::android/content/Context;->startActivity(+0.138)
2016-11,27,703,200,109,309,0.3528,9,1,False,intents::android_intent_category_DEFAULT(+0.141); interesting_calls::getPackageInfo(+0.132); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.132); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.132); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.130); interesting_calls::Read/Write External Storage(+0.129); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.127); interesting_calls::getDeviceId(+0.127); api_permissions::android_permission_READ_PHONE_STATE(+0.126); interesting_calls::printStackTrace(+0.126)
2016-11,28,813,385,28,413,0.0678,9,1,False,intents::android_intent_action_MAIN(+0.240); intents::android_intent_category_LAUNCHER(+0.239); interesting_calls::getSystemService(+0.237); api_permissions::android_permission_INTERNET(+0.235); interesting_calls::Read/Write External Storage(+0.221); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.196); api_permissions::android_permission_VIBRATE(+0.193); api_permissions::android_permission_WAKE_LOCK(+0.191)
2016-11,29,138,105,7,112,0.0625,7,2,False,intents::android_intent_action_MAIN(+0.251); intents::android_intent_category_LAUNCHER(+0.250); interesting_calls::getSystemService(+0.235); api_permissions::android_permission_INTERNET(+0.229); app_permissions::name='android_permission_INTERNET'(+0.226); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.205); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.199); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.198); interesting_calls::getPackageInfo(+0.190); api_permissions::android_permission_WAKE_LOCK(+0.190)
2016-11,30,356,146,20,166,0.1205,8,2,False,api_permissions::android_permission_WAKE_LOCK(+0.239); intents::android_intent_action_MAIN(+0.239); intents::android_intent_category_LAUNCHER(+0.238); api_permissions::android_permission_CAMERA(+0.228); api_calls::android/hardware/Camera;->open(+0.228); interesting_calls::getSystemService(+0.225); api_permissions::android_permission_INTERNET(+0.221); api_permissions::android_permission_RECORD_AUDIO(+0.220); interesting_calls::Read/Write External Storage(+0.215); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.203)
2016-11,31,137,62,7,69,0.1014,7,2,False,api_permissions::android_permission_VIBRATE(+0.146); interesting_calls::Obfuscation(Base64)(+0.094); api_permissions::android_permission_WAKE_LOCK(+0.094); interesting_calls::getPackageInfo(+0.092); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.090); urls::https://api_twitter_com/oauth/request_token(+0.090); urls::https://api_twitter_com/oauth/access_token(+0.090); app_permissions::name='android_permission_INTERNET'(+0.088); api_permissions::android_permission_INTERNET(+0.088); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.088)
2016-11,32,258,110,3,113,0.0265,8,2,False,interesting_calls::Obfuscation(Base64)(+0.161); interesting_calls::Read/Write External Storage(+0.156); intents::android_intent_action_MAIN(+0.154); interesting_calls::getSystemService(+0.154); app_permissions::name='android_permission_INTERNET'(+0.154); api_permissions::android_permission_INTERNET(+0.153); intents::android_intent_category_LAUNCHER(+0.153); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.152); urls::http://xmlpull_org/v1/doc/features_html(+0.150); urls::http://www_w3_org/XML/1998/namespace(+0.150)
2016-11,33,171,94,0,94,0.0,7,2,False,interesting_calls::Read/Write External Storage(+0.180); api_permissions::android_permission_READ_CONTACTS(+0.171); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.164); interesting_calls::Obfuscation(Base64)(+0.158); api_calls::android/app/NotificationManager;->notify(+0.147); interesting_calls::printStackTrace(+0.144); api_permissions::android_permission_INTERNET(+0.143); interesting_calls::getSystemService(+0.142); intents::android_intent_action_MAIN(+0.141); intents::android_intent_category_LAUNCHER(+0.141)
2016-11,34,189,82,2,84,0.0238,7,3,False,interesting_calls::Read/Write External Storage(+0.124); api_permissions::android_permission_WAKE_LOCK(+0.122); interesting_calls::getPackageInfo(+0.121); interesting_calls::getDeviceId(+0.118); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.117); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.117); intents::android_intent_action_MAIN(+0.115); interesting_calls::getSystemService(+0.115); api_permissions::android_permission_INTERNET(+0.114); api_permissions::android_permission_VIBRATE(+0.114)
2016-11,35,101,56,3,59,0.0508,6,3,False,api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.181); intents::android_intent_action_MAIN(+0.172); intents::android_intent_category_LAUNCHER(+0.172); app_permissions::name='android_permission_INTERNET'(+0.170); api_permissions::android_permission_INTERNET(+0.170); interesting_calls::getSystemService(+0.170); interesting_calls::printStackTrace(+0.167); interesting_calls::getPackageInfo(+0.163); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.161); interesting_calls::HttpPost(+0.161)
2016-11,36,156,67,5,72,0.0694,7,3,False,intents::android_intent_action_MAIN(+0.206); intents::android_intent_category_LAUNCHER(+0.206); interesting_calls::getSystemService(+0.197); interesting_calls::printStackTrace(+0.193); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.192); api_permissions::android_permission_INTERNET(+0.191); app_permissions::name='android_permission_INTERNET'(+0.187); interesting_calls::Read/Write External Storage(+0.186); intents::android_intent_category_DEFAULT(+0.182); api_permissions::android_permission_WAKE_LOCK(+0.177)
